年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,得票率%,略称党名,党順序,自治体コード
2011,品川,当,2239,宮崎　克俊,,55,男,共産,現,,1.86,共産,5,131091
2011,品川,当,2188,南　恵子,,62,女,共産,現,,1.818,共産,5,131091
2011,品川,当,2046,飯沼　雅子,,61,女,共産,現,,1.7,共産,5,131091
2011,品川,落,1669,安藤　泰作,,37,男,共産,現,,1.387,共産,5,131091
2019,品川,当,3526.058,鈴木　ひろ子,,65,女,共産,現,,2.754,共産,5,131091
2019,品川,当,3353,中塚　亮,,43,男,共産,現,,2.619,共産,5,131091
2019,品川,当,2588,奥野　晋治,,62,男,共産,現,,2.021,共産,5,131091
2019,品川,当,2449.168,石田　知広,,43,女,共産,現,,1.913,共産,5,131091
2019,品川,当,2215,安藤　泰作,,45,男,共産,現,,1.73,共産,5,131091
2019,品川,当,2149,野館　稔史,,33,男,共産,現,,1.678,共産,5,131091
2019,品川,落,1707,宗　和弥,,53,女,共産,新,,1.333,共産,5,131091
2019,品川,落,1241,鍬塚　透,,57,男,共産,新,,0.969,共産,5,131091
2015,品川,当,2759,大倉　考裕,,27,男,民主,新,,2.275,民主,80,131091
2015,品川,当,2673,阿部　祐美子,,46,女,民主,現,,2.204,民主,80,131091
2015,品川,当,2080.782,石田　慎吾,,31,男,民主,現,,1.716,民主,80,131091
2015,品川,当,1954,向　めぐ美,,30,女,民主,新,,1.611,民主,80,131091
2015,品川,当,1713,稲川　貴之,,38,男,民主,現,,1.412,民主,80,131091
2015,品川,落,1668,本間　隆,,63,男,民主,現,,1.375,民主,80,131091
2015,品川,落,1128,奥山　晃,,59,男,民主,新,,0.93,民主,80,131091
2011,品川,当,2759,大倉　考裕,,27,男,民主,新,,2.292,民主,80,131091
2011,品川,当,2673,阿部　祐美子,,46,女,民主,現,,2.221,民主,80,131091
2011,品川,当,2080.782,石田　慎吾,,31,男,民主,現,,1.729,民主,80,131091
2011,品川,当,1954,向　めぐ美,,30,女,民主,新,,1.624,民主,80,131091
2011,品川,当,1713,稲川　貴之,,38,男,民主,現,,1.423,民主,80,131091
2011,品川,落,1668,本間　隆,,63,男,民主,現,,1.386,民主,80,131091
2011,品川,落,1128,奥山　晃,,59,男,民主,新,,0.937,民主,80,131091
2011,品川,落,1084,矢羽　亮一,,59,男,民主,新,,0.901,民主,80,131091
2015,品川,落,1084,矢羽　亮一,,59,男,民主,新,,0.894,民主,80,131091
2015,品川,当,2742,山元　敬子,,57,女,公明,現,,2.261,公明,4,131091
2015,品川,当,2657,若林　広毅,,50,男,公明,現,,2.191,公明,4,131091
2015,品川,当,2654,阿久津　広王,,37,男,公明,新,,2.188,公明,4,131091
2015,品川,当,2565,金野　孝子,,47,女,公明,現,,2.115,公明,4,131091
2015,品川,当,2465,塚本　芳弘,,47,男,公明,新,,2.032,公明,4,131091
2015,品川,当,2444,鶴　伸一郎,,35,男,公明,新,,2.015,公明,4,131091
2015,品川,当,2257,武内　忍,,47,男,公明,現,,1.861,公明,4,131091
2015,品川,当,2247,浅野　浩之,,54,男,公明,現,,1.853,公明,4,131091
2011,品川,当,2742,山元　敬子,,57,女,公明,現,,2.278,公明,4,131091
2011,品川,当,2657,若林　広毅,,50,男,公明,現,,2.208,公明,4,131091
2011,品川,当,2654,阿久津　広王,,37,男,公明,新,,2.205,公明,4,131091
